IP|PUERTO|BD|USUARIO|USOS
10.50.70.33|51708|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|28822|buro|sysburotienda|1
10.50.71.69|28826|buro|sysburotienda|1
10.50.71.69|28840|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|28846|buro|sysburotienda|1
10.50.71.69|28866|buro|sysburotienda|1
10.50.71.69|28876|buro|sysburotienda|1
10.50.71.69|28878|buro|sysburotienda|1
10.50.71.69|28886|buro|sysburotienda|1
10.50.71.69|28890|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|28892|buro|sysburotienda|1
10.50.71.69|28906|buro|sysburotienda|1
10.50.71.69|28920|buro|sysburotienda|1
10.50.71.69|28932|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|16228|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|16230|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|16238|buro|sysburotienda|1
10.50.71.69|16250|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|16256|buro|sysburotienda|1
10.50.71.69|16266|infocrediticiacte|sysinfocrediticia|1
10.50.70.36|38246|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|16268|buro|sysburotienda|1
10.50.71.69|16276|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|44008|buro|sysburotienda|1
10.50.71.69|44022|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|44032|buro|sysburotienda|1
